investor_id,avg_gap_days,at_risk_flag,total_sips
INV002527,49.7,Yes,7
INV002530,71.4,Yes,8
INV002531,76.3,Yes,7
INV002543,74.7,Yes,7
INV002547,89.0,Yes,6
INV002552,48.2,Yes,10
INV002554,49.7,Yes,7
INV002555,72.0,Yes,7
INV002557,67.2,Yes,7
INV002558,97.6,Yes,6
INV002560,95.2,Yes,6
INV002563,65.8,Yes,6
INV002567,82.0,Yes,6
INV002568,61.6,Yes,8
INV002570,62.0,Yes,7
INV002572,55.7,Yes,8
INV002574,79.4,Yes,6
INV002575,56.1,Yes,9
INV002579,40.8,Yes,6
INV002582,77.4,Yes,6
INV002585,65.0,Yes,6
INV002586,87.2,Yes,6
INV002590,50.2,Yes,10
INV002591,52.2,Yes,6
INV002594,94.0,Yes,6
INV002598,51.4,Yes,9
INV002602,66.0,Yes,8
INV002606,89.6,Yes,6
INV002613,65.0,Yes,8
INV002622,76.7,Yes,7
INV002627,85.0,Yes,6
INV002628,77.0,Yes,6
INV002632,65.6,Yes,8
INV002640,70.0,Yes,7
INV002643,74.2,Yes,6
INV002645,45.2,Yes,7
INV002654,61.9,Yes,8
INV002659,62.3,Yes,7
INV002666,53.2,Yes,7
INV002671,77.2,Yes,7
INV002673,65.0,Yes,8
INV002674,75.8,Yes,6
INV002675,63.9,Yes,8
INV002681,83.7,Yes,7
INV002684,80.6,Yes,6
INV002688,37.0,Yes,9
INV002689,50.0,Yes,8
INV002693,45.8,Yes,7
INV002697,55.3,Yes,7
INV002700,79.8,Yes,7
INV002704,59.1,Yes,8
INV002705,22.6,No,8
INV002706,73.6,Yes,6
INV002711,65.6,Yes,8
INV002712,46.8,Yes,11
INV002722,61.4,Yes,6
INV002723,37.8,Yes,9
INV002724,76.6,Yes,6
INV002726,45.6,Yes,8
INV002732,70.7,Yes,8
INV002733,51.6,Yes,8
INV002735,68.2,Yes,7
INV002736,70.6,Yes,6
INV002737,58.4,Yes,8
INV002743,88.2,Yes,6
INV002744,52.9,Yes,10
INV002746,68.0,Yes,8
INV002750,72.4,Yes,6
INV002751,41.5,Yes,7
INV002758,81.0,Yes,6
INV002761,80.6,Yes,6
INV002766,70.6,Yes,6
INV002767,55.3,Yes,7
INV002769,82.0,Yes,7
INV002772,74.5,Yes,7
INV002779,64.2,Yes,6
INV002783,64.0,Yes,7
INV002786,76.3,Yes,7
INV002793,59.3,Yes,7
INV002794,56.2,Yes,7
INV002799,70.8,Yes,6
INV002800,63.5,Yes,7
INV002803,64.8,Yes,7
INV002804,59.9,Yes,8
INV002808,59.7,Yes,7
INV002809,81.4,Yes,6
INV002810,32.3,No,8
INV002813,49.0,Yes,7
INV002822,53.0,Yes,7
INV002824,71.8,Yes,7
INV002826,61.6,Yes,6
INV002827,73.6,Yes,6
INV002828,80.0,Yes,6
INV002831,40.2,Yes,6
INV002835,82.3,Yes,7
INV002838,56.7,Yes,8
INV002841,43.4,Yes,6
INV002843,43.1,Yes,8
INV002847,52.7,Yes,10
INV002850,53.2,Yes,7
INV002852,75.8,Yes,6
INV002859,76.5,Yes,7
INV002863,74.4,Yes,6
INV002865,37.2,Yes,6
INV002870,48.2,Yes,6
INV002872,85.6,Yes,6
INV002873,98.2,Yes,6
INV002879,72.2,Yes,7
INV002881,43.6,Yes,6
INV002883,96.0,Yes,6
INV002886,44.3,Yes,7
INV002891,72.7,Yes,8
INV002893,50.0,Yes,9
INV002900,64.2,Yes,6
INV002903,89.6,Yes,6
INV002904,49.3,Yes,7
INV002905,73.0,Yes,6
INV002906,41.2,Yes,6
INV002909,82.3,Yes,7
INV002912,97.0,Yes,6
INV002913,73.7,Yes,7
INV002915,49.3,Yes,8
INV002921,53.3,Yes,7
INV002927,40.3,Yes,8
INV002935,48.0,Yes,7
INV002937,67.2,Yes,7
INV002939,60.5,Yes,7
INV002942,55.5,Yes,9
INV002945,65.0,Yes,8
INV002947,64.2,Yes,7
INV002950,45.9,Yes,8
INV002951,51.8,Yes,7
INV002961,84.7,Yes,7
INV002974,51.3,Yes,7
INV002984,91.0,Yes,6
INV002989,86.6,Yes,6
INV002994,58.2,Yes,7
INV003000,67.0,Yes,7
INV003003,58.2,Yes,9
INV003005,53.1,Yes,8
INV003007,48.2,Yes,9
INV003009,38.1,Yes,9
INV003011,64.2,Yes,7
INV003014,82.4,Yes,6
INV003015,54.7,Yes,7
INV003018,49.2,Yes,6
INV003022,69.6,Yes,6
INV003024,44.2,Yes,6
INV003025,35.3,Yes,8
INV003028,91.4,Yes,6
INV003034,73.4,Yes,6
INV003036,57.7,Yes,8
INV003037,79.5,Yes,7
INV003040,74.0,Yes,6
INV003043,73.8,Yes,7
INV003044,71.2,Yes,7
INV003045,36.2,Yes,6
INV003047,70.1,Yes,8
INV003054,78.7,Yes,7
INV003060,79.0,Yes,7
INV003063,57.8,Yes,7
INV003070,54.5,Yes,9
INV003074,74.8,Yes,6
INV003075,57.4,Yes,8
INV003078,69.2,Yes,7
INV003082,46.4,Yes,8
INV003083,66.4,Yes,6
INV003089,65.0,Yes,6
INV003091,50.9,Yes,9
INV003095,86.6,Yes,6
INV003097,62.7,Yes,8
INV003105,65.5,Yes,7
INV003112,91.6,Yes,6
INV003113,66.9,Yes,8
INV003115,48.0,Yes,6
INV003117,66.6,Yes,8
INV003134,76.8,Yes,7
INV003139,55.2,Yes,7
INV003140,57.0,Yes,8
INV003141,67.5,Yes,7
INV003144,82.5,Yes,7
INV003146,59.5,Yes,9
INV003151,81.0,Yes,6
INV003153,40.7,Yes,7
INV003158,55.6,Yes,9
INV003161,77.4,Yes,6
INV003169,62.6,Yes,6
INV003178,56.4,Yes,6
INV003179,56.2,Yes,9
INV003185,65.2,Yes,6
INV003187,58.2,Yes,9
INV003189,55.1,Yes,9
INV003191,76.8,Yes,6
INV003193,96.6,Yes,6
INV003196,80.3,Yes,7
INV003205,67.7,Yes,7
INV003210,72.2,Yes,6
INV003211,69.0,Yes,7
INV003214,59.8,Yes,6
INV003215,60.8,Yes,7
INV003219,57.2,Yes,6
INV003221,61.2,Yes,7
INV003222,81.5,Yes,7
INV003223,67.7,Yes,8
INV003228,70.2,Yes,7
INV003230,67.5,Yes,7
INV003231,83.0,Yes,7
INV003234,96.6,Yes,6
INV003236,51.1,Yes,9
INV003242,61.0,Yes,7
INV003247,84.6,Yes,6
INV003252,67.6,Yes,6
INV003256,51.0,Yes,7
INV003257,61.8,Yes,6
INV003260,89.4,Yes,6
INV003262,85.2,Yes,6
INV003267,74.4,Yes,6
INV003271,61.2,Yes,7
INV003273,60.1,Yes,8
INV003277,53.7,Yes,8
INV003279,63.4,Yes,9
INV003289,64.8,Yes,7
INV003300,64.8,Yes,6
INV003301,59.4,Yes,9
INV003304,44.2,Yes,10
INV003308,56.8,Yes,9
INV003310,80.8,Yes,6
INV003311,48.0,Yes,9
INV003314,73.5,Yes,7
INV003317,44.1,Yes,8
INV003320,45.3,Yes,8
INV003325,101.0,Yes,6
INV003329,89.0,Yes,6
INV003336,72.3,Yes,7
INV003338,37.5,Yes,9
INV003344,86.6,Yes,6
INV003350,92.4,Yes,6
INV003351,54.0,Yes,6
INV003352,68.1,Yes,8
INV003357,62.4,Yes,6
INV003360,59.4,Yes,8
INV003370,63.3,Yes,7
INV003372,59.4,Yes,6
INV003374,56.5,Yes,7
INV003375,52.7,Yes,8
INV003376,85.8,Yes,6
INV003379,75.2,Yes,7
INV003380,72.4,Yes,6
INV003382,34.2,No,6
INV003391,56.6,Yes,6
INV003393,63.7,Yes,8
INV003395,79.0,Yes,6
INV003398,55.4,Yes,8
INV003403,56.6,Yes,6
INV003404,50.3,Yes,8
INV003405,41.0,Yes,8
INV003406,59.0,Yes,8
INV003407,57.4,Yes,8
INV003422,84.7,Yes,7
INV003424,73.2,Yes,7
INV003427,84.2,Yes,6
INV003430,73.4,Yes,6
INV003431,51.4,Yes,6
INV003432,61.3,Yes,7
INV003435,73.8,Yes,7
INV003437,91.2,Yes,6
INV003448,74.5,Yes,7
INV003450,47.7,Yes,10
INV003455,35.5,Yes,7
INV003457,60.5,Yes,7
INV003458,67.9,Yes,8
INV003459,59.4,Yes,6
INV003473,95.8,Yes,6
INV003475,56.0,Yes,9
INV003478,56.6,Yes,9
INV003479,65.7,Yes,8
INV003480,82.4,Yes,6
INV003484,73.8,Yes,6
INV003487,70.6,Yes,6
INV003491,59.1,Yes,9
INV003492,90.8,Yes,6
INV003495,49.2,Yes,10
INV003506,67.0,Yes,7
INV003509,60.9,Yes,9
INV003511,65.6,Yes,8
INV003514,74.2,Yes,6
INV003518,67.8,Yes,6
INV003521,89.0,Yes,6
INV003524,64.2,Yes,7
INV003526,88.2,Yes,6
INV003528,58.6,Yes,9
INV003530,51.0,Yes,6
INV003531,76.4,Yes,6
INV003534,52.7,Yes,8
INV003545,90.0,Yes,6
INV003556,77.6,Yes,6
INV003557,66.4,Yes,6
INV003558,39.2,Yes,7
INV003559,48.3,Yes,10
INV003562,80.5,Yes,7
INV003564,71.0,Yes,8
INV003580,72.2,Yes,7
INV003581,51.3,Yes,8
INV003582,49.3,Yes,7
INV003586,54.3,Yes,8
INV003592,75.6,Yes,6
INV003593,78.2,Yes,6
INV003598,68.0,Yes,8
INV003599,50.0,Yes,6
INV003601,45.2,Yes,9
INV003604,90.2,Yes,6
INV003607,70.4,Yes,6
INV003611,68.8,Yes,7
INV003613,67.4,Yes,8
INV003619,72.0,Yes,6
INV003625,62.4,Yes,6
INV003627,59.2,Yes,7
INV003630,52.0,Yes,7
INV003633,78.8,Yes,6
INV003634,47.8,Yes,6
INV003635,47.1,Yes,10
INV003641,67.0,Yes,8
INV003642,53.2,Yes,7
INV003645,95.2,Yes,6
INV003649,96.8,Yes,6
INV003650,33.9,No,11
INV003654,60.5,Yes,7
INV003655,49.8,Yes,10
INV003658,70.7,Yes,8
INV003660,79.0,Yes,6
INV003669,53.5,Yes,7
INV003670,70.9,Yes,8
INV003672,77.2,Yes,6
INV003673,68.9,Yes,8
INV003678,32.8,No,6
INV003681,51.0,Yes,9
INV003683,92.4,Yes,6
INV003684,98.2,Yes,6
INV003685,80.2,Yes,6
INV003686,96.6,Yes,6
INV003693,71.3,Yes,7
INV003695,51.7,Yes,7
INV003696,75.8,Yes,6
INV003697,76.7,Yes,7
INV003702,72.7,Yes,7
INV003705,78.8,Yes,6
INV003707,68.6,Yes,6
INV003708,60.5,Yes,7
INV003709,80.2,Yes,6
INV003710,78.6,Yes,6
INV003711,72.2,Yes,6
INV003712,79.6,Yes,6
INV003713,81.5,Yes,7
INV003718,91.4,Yes,6
INV003720,74.6,Yes,6
INV003722,50.7,Yes,7
INV003723,61.8,Yes,6
INV003724,68.0,Yes,7
INV003733,88.8,Yes,6
INV003734,59.0,Yes,8
INV003735,45.9,Yes,8
INV003736,77.2,Yes,7
INV003738,50.6,Yes,6
INV003740,51.8,Yes,7
INV003741,67.7,Yes,7
INV003744,86.8,Yes,6
INV003745,70.2,Yes,6
INV003748,56.1,Yes,8
INV003757,81.8,Yes,7
INV003761,51.9,Yes,8
INV003766,65.3,Yes,8
INV003767,47.5,Yes,9
INV003771,50.8,Yes,10
INV003772,34.5,No,9
INV003775,74.0,Yes,6
INV003779,76.4,Yes,6
INV003780,57.4,Yes,8
INV003781,64.8,Yes,7
INV003785,74.2,Yes,6
INV003787,63.2,Yes,9
INV003793,72.3,Yes,7
INV003795,67.7,Yes,7
INV003811,78.7,Yes,7
INV003812,50.8,Yes,7
INV003813,82.2,Yes,6
INV003815,72.5,Yes,7
INV003824,71.5,Yes,7
INV003825,81.2,Yes,6
INV003828,30.7,No,7
INV003829,48.6,Yes,10
INV003830,71.4,Yes,6
INV003844,68.5,Yes,7
INV003847,50.0,Yes,8
INV003849,77.2,Yes,6
INV003851,57.8,Yes,7
INV003860,46.0,Yes,6
INV003862,60.2,Yes,7
INV003865,85.2,Yes,7
INV003868,87.6,Yes,6
INV003872,45.4,Yes,9
INV003876,77.6,Yes,6
INV003880,68.6,Yes,8
INV003885,71.6,Yes,6
INV003892,55.2,Yes,10
INV003896,82.0,Yes,6
INV003897,71.6,Yes,6
INV003903,50.3,Yes,8
INV003905,62.5,Yes,7
INV003906,55.1,Yes,10
INV003912,68.6,Yes,6
INV003913,61.4,Yes,8
INV003916,67.2,Yes,6
INV003920,66.9,Yes,8
INV003936,89.6,Yes,6
INV003938,52.5,Yes,7
INV003940,70.7,Yes,7
INV003943,42.5,Yes,9
INV003945,56.3,Yes,7
INV003946,69.2,Yes,7
INV003948,43.7,Yes,7
INV003952,54.7,Yes,7
INV003958,85.6,Yes,6
INV003962,68.7,Yes,8
INV003964,51.2,Yes,10
INV003968,92.4,Yes,6
INV003972,84.2,Yes,6
INV003975,50.1,Yes,8
INV003978,68.1,Yes,8
INV003979,56.0,Yes,8
INV003981,67.7,Yes,7
INV003985,93.0,Yes,6
INV003996,95.2,Yes,6
INV004001,40.3,Yes,8
INV004004,40.8,Yes,10
INV004005,73.7,Yes,7
INV004007,38.8,Yes,7
INV004009,62.3,Yes,8
INV004014,61.9,Yes,9
INV004015,88.0,Yes,6
INV004017,40.5,Yes,7
INV004023,52.0,Yes,10
INV004037,74.6,Yes,6
INV004038,71.7,Yes,7
INV004049,48.2,Yes,6
INV004063,56.6,Yes,8
INV004066,75.2,Yes,7
INV004069,74.0,Yes,6
INV004070,67.7,Yes,7
INV004079,71.3,Yes,7
INV004085,68.3,Yes,7
INV004091,73.6,Yes,6
INV004094,55.8,Yes,6
INV004098,58.2,Yes,6
INV004099,58.8,Yes,6
INV004106,55.8,Yes,6
INV004112,55.2,Yes,6
INV004116,54.9,Yes,10
INV004118,64.6,Yes,6
INV004119,73.2,Yes,6
INV004123,85.0,Yes,6
INV004124,63.8,Yes,6
INV004125,61.6,Yes,9
INV004127,87.6,Yes,6
INV004128,67.2,Yes,6
INV004134,35.4,Yes,6
INV004135,50.1,Yes,10
INV004143,97.0,Yes,6
INV004145,66.2,Yes,6
INV004146,88.2,Yes,6
INV004147,72.2,Yes,6
INV004149,50.2,Yes,6
INV004151,63.1,Yes,8
INV004153,60.0,Yes,8
INV004154,46.7,Yes,12
INV004172,63.0,Yes,8
INV004174,86.6,Yes,6
INV004175,67.9,Yes,8
INV004177,45.4,Yes,8
INV004179,71.2,Yes,6
INV004181,93.4,Yes,6
INV004191,77.2,Yes,7
INV004196,78.3,Yes,7
INV004199,58.2,Yes,6
INV004202,47.6,Yes,9
INV004203,66.6,Yes,8
INV004208,73.4,Yes,6
INV004212,69.3,Yes,7
INV004216,82.0,Yes,7
INV004228,72.3,Yes,7
INV004232,71.4,Yes,6
INV004239,61.1,Yes,8
INV004241,53.7,Yes,10
INV004243,55.7,Yes,8
INV004246,34.2,No,7
INV004247,87.2,Yes,6
INV004248,42.7,Yes,7
INV004258,49.7,Yes,7
INV004266,61.8,Yes,7
INV004267,53.3,Yes,7
INV004270,69.7,Yes,7
INV004271,79.8,Yes,6
INV004279,50.3,Yes,8
INV004281,41.7,Yes,8
INV004282,52.9,Yes,8
INV004285,76.2,Yes,7
INV004288,72.8,Yes,7
INV004289,45.9,Yes,11
INV004293,81.8,Yes,6
INV004295,44.8,Yes,9
INV004296,102.2,Yes,6
INV004297,41.9,Yes,9
INV004299,64.1,Yes,8
INV004306,57.0,Yes,7
INV004308,84.7,Yes,7
INV004314,83.0,Yes,6
INV004319,60.5,Yes,9
INV004321,42.0,Yes,9
INV004324,77.7,Yes,7
INV004326,40.1,Yes,10
INV004332,64.7,Yes,8
INV004335,64.4,Yes,8
INV004338,48.9,Yes,10
INV004340,67.8,Yes,6
INV004343,63.0,Yes,6
INV004348,52.2,Yes,6
INV004349,72.5,Yes,7
INV004356,30.8,No,6
INV004357,72.4,Yes,8
INV004358,45.9,Yes,8
INV004361,61.6,Yes,8
INV004364,80.6,Yes,6
INV004367,81.6,Yes,6
INV004372,59.2,Yes,6
INV004391,57.0,Yes,6
INV004392,90.4,Yes,6
INV004400,46.6,Yes,8
INV004401,69.9,Yes,8
INV004403,73.6,Yes,6
INV004410,40.9,Yes,11
INV004411,61.0,Yes,6
INV004412,82.3,Yes,7
INV004413,69.0,Yes,8
INV004414,53.9,Yes,8
INV004421,90.8,Yes,6
INV004427,50.8,Yes,11
INV004434,84.6,Yes,6
INV004446,65.8,Yes,6
INV004447,49.8,Yes,7
INV004450,61.6,Yes,6
INV004451,84.0,Yes,6
INV004452,81.0,Yes,7
INV004454,98.4,Yes,6
INV004455,50.0,Yes,6
INV004457,81.4,Yes,6
INV004459,53.8,Yes,7
INV004460,42.5,Yes,9
INV004463,94.8,Yes,6
INV004464,62.5,Yes,7
INV004468,76.8,Yes,7
INV004472,50.7,Yes,7
INV004473,73.3,Yes,7
INV004475,67.8,Yes,7
INV004477,58.7,Yes,8
INV004484,61.6,Yes,6
INV004502,74.5,Yes,7
INV004504,55.1,Yes,8
INV004511,37.2,Yes,6
INV004517,86.6,Yes,6
INV004521,54.5,Yes,7
INV004523,87.2,Yes,6
INV004528,54.0,Yes,7
INV004531,60.0,Yes,8
INV004533,55.0,Yes,7
INV004542,34.0,No,7
INV004547,67.5,Yes,7
INV004555,53.1,Yes,8
INV004560,48.4,Yes,9
INV004562,83.8,Yes,6
INV004563,64.8,Yes,7
INV004574,54.6,Yes,8
INV004576,63.0,Yes,6
INV004579,43.9,Yes,8
INV004581,72.1,Yes,8
INV004589,71.4,Yes,6
INV004594,59.1,Yes,8
INV004598,84.2,Yes,6
INV004602,59.6,Yes,9
INV004607,56.0,Yes,8
INV004608,55.0,Yes,8
INV004611,51.2,Yes,7
INV004614,79.6,Yes,6
INV004617,39.2,Yes,9
INV004621,54.2,Yes,9
INV004625,96.4,Yes,6
INV004629,64.6,Yes,8
INV004630,50.6,Yes,9
INV004631,64.7,Yes,8
INV004633,78.2,Yes,7
INV004635,58.7,Yes,7
INV004636,75.6,Yes,6
INV004638,54.3,Yes,7
INV004640,68.3,Yes,7
INV004641,67.8,Yes,6
INV004642,54.8,Yes,6
INV004643,50.6,Yes,6
INV004646,64.5,Yes,7
INV004647,70.7,Yes,7
INV004650,80.8,Yes,6
INV004661,69.7,Yes,8
INV004665,83.4,Yes,6
INV004672,72.0,Yes,7
INV004680,47.2,Yes,7
INV004682,42.2,Yes,9
INV004688,77.6,Yes,6
INV004692,83.6,Yes,6
INV004701,20.0,No,7
INV004704,93.8,Yes,6
INV004712,48.6,Yes,8
INV004715,56.8,Yes,7
INV004716,74.0,Yes,7
INV004737,54.6,Yes,10
INV004738,93.2,Yes,6
INV004741,72.3,Yes,7
INV004753,61.4,Yes,6
INV004755,61.2,Yes,7
INV004761,71.4,Yes,6
INV004763,83.5,Yes,7
INV004764,83.0,Yes,6
INV004770,72.9,Yes,8
INV004776,57.4,Yes,9
INV004780,69.5,Yes,7
INV004785,66.2,Yes,7
INV004787,72.3,Yes,7
INV004798,53.7,Yes,7
INV004804,79.2,Yes,6
INV004805,44.7,Yes,7
INV004807,36.9,Yes,8
INV004813,62.0,Yes,6
INV004819,62.0,Yes,7
INV004825,70.0,Yes,7
INV004833,65.4,Yes,6
INV004834,38.6,Yes,9
INV004840,41.0,Yes,7
INV004843,50.9,Yes,8
INV004844,66.7,Yes,7
INV004845,81.8,Yes,6
INV004847,73.5,Yes,7
INV004848,54.1,Yes,9
INV004860,78.4,Yes,6
INV004863,68.0,Yes,7
INV004864,43.3,Yes,8
INV004865,76.3,Yes,7
INV004868,56.0,Yes,8
INV004871,69.1,Yes,8
INV004877,80.5,Yes,7
INV004889,70.7,Yes,7
INV004891,55.9,Yes,8
INV004896,79.4,Yes,6
INV004901,54.6,Yes,6
INV004911,63.7,Yes,7
INV004913,87.0,Yes,6
INV004916,75.5,Yes,7
INV004917,51.0,Yes,7
INV004924,59.8,Yes,9
INV004925,70.8,Yes,7
INV004926,66.3,Yes,8
INV004927,34.2,No,7
INV004947,45.0,Yes,6
INV004953,67.2,Yes,7
INV004956,59.1,Yes,8
INV004958,73.2,Yes,7
INV004959,68.6,Yes,6
INV004967,63.2,Yes,6
INV004973,55.0,Yes,9
INV004974,52.4,Yes,8
INV004978,63.8,Yes,7
INV004981,49.1,Yes,8
INV004983,57.7,Yes,7
INV004984,75.3,Yes,7
INV004986,81.3,Yes,7
INV004992,81.5,Yes,7
INV004996,46.3,Yes,10
INV004997,71.0,Yes,7
